483,320
569,636
454,266
530,232
1022,50
981,237
1183,432
681,94
1176,145
882,654
888,460
779,687
188,769
297,634
443,767
521,731
267,324
331,761
979,386
161,399
1138,525
82,392
156,33
544,538
658,670
199,562
124,456
1037,600
449,154
54,659
767,347
65,495
368,600
83,63
744,551
914,74
653,466
1199,534
758,82
328,476
468,81
400,433
280,425
35,215
615,530
632,749
765,249
433,536
314,553
352,391
919,335
212,134
946,657
610,145
1078,139
981,485
580,268
915,711
848,190
1112,84
843,253
668,386
938,158
911,528
366,81
1172,712
320,41
1060,229
619,42
110,542
326,193
150,705
661,573
474,400
1229,113
137,642
1064,744
1227,674
1098,635
1229,477
1213,208
85,723
703,313
868,571
805,133
962,33
995,773
1038,414
712,183
123,256
710,738
562,393
503,627
54,576
1189,347
573,768
50,125
713,624
405,28
778,438
448,703
141,122
791,502
619,208
258,234
330,267
1065,349
171,294
234,381
395,196
995,111
1142,213
326,697
397,326
882,127
1229,748
820,72
262,731
1177,598
536,159
1011,318
120,326
205,638
548,33
924,772
731,479
979,561
798,597
35,769
1243,584
820,748
1182,30
231,466
563,465
1039,662
432,645
181,226
54,311
1249,302
1106,401
576,703
838,412
842,322
1083,561
96,186
490,503
1043,494
270,82
1244,388
703,243
